epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,14923.9,1.14738,1.4858,1.28299,0.5408,0.496,0.50039,0.33341,1.17352,1.50379,1.33264,0.00347788,0.00347788,0.00347788
125,15038.4,1.14763,1.49802,1.28689,0.53726,0.50546,0.50113,0.33479,1.17341,1.50021,1.33247,0.0034655,0.0034655,0.0034655
126,15153.9,1.14642,1.502,1.29377,0.53368,0.50857,0.503,0.33673,1.17217,1.49933,1.33264,0.00345313,0.00345313,0.00345313
127,15269,1.15323,1.50214,1.29073,0.54225,0.50092,0.50329,0.33529,1.17018,1.50079,1.331,0.00344075,0.00344075,0.00344075
128,15383.5,1.14692,1.5049,1.29361,0.5545,0.4927,0.50606,0.33664,1.17066,1.49996,1.33091,0.00342838,0.00342838,0.00342838
129,15498,1.13716,1.48158,1.28046,0.55379,0.49416,0.50482,0.33674,1.1709,1.50087,1.33231,0.003416,0.003416,0.003416
130,15613.4,1.12626,1.45599,1.2729,0.5465,0.49536,0.50509,0.33609,1.17053,1.50249,1.33155,0.00340363,0.00340363,0.00340363
131,15727.9,1.1356,1.46076,1.27505,0.51564,0.52696,0.50589,0.3367,1.17205,1.4986,1.33276,0.00339125,0.00339125,0.00339125
132,15842.5,1.14393,1.47159,1.28498,0.53083,0.51107,0.50637,0.33736,1.17123,1.49652,1.33247,0.00337887,0.00337887,0.00337887
133,15957.7,1.13304,1.44424,1.27683,0.53217,0.50692,0.50735,0.33889,1.17298,1.49671,1.33342,0.0033665,0.0033665,0.0033665
134,16072.8,1.13015,1.44112,1.26713,0.52305,0.52469,0.50743,0.33835,1.17213,1.49247,1.33217,0.00335412,0.00335412,0.00335412
135,16187.3,1.12826,1.44769,1.27043,0.52065,0.52222,0.50836,0.33784,1.171,1.49294,1.33018,0.00334175,0.00334175,0.00334175
136,16301.7,1.13847,1.42778,1.27846,0.57308,0.47929,0.50993,0.33896,1.17279,1.49536,1.33099,0.00332937,0.00332937,0.00332937
137,16417.2,1.11058,1.40869,1.25821,0.58406,0.479,0.50868,0.3389,1.17378,1.49515,1.33182,0.003317,0.003317,0.003317
